"Index","Open","High","Low","Close","Volume"
1970-01-02,12.42,12.84,12.42,12.48,10599
1970-01-03,12.45,12.48,12.18,12.24,12555
1970-01-04,12.06,12.45,12.03,12.39,18336
1970-01-05,12.24,12.75,12.24,12.72,10980
1970-01-06,12.78,12.9,12.66,12.87,8103
1970-01-07,12.6,13.08,12.6,12.99,14481
1970-01-08,13.02,13.29,12.84,13.08,16923
1970-01-09,13.17,14.1,13.11,14.07,26940
1970-01-10,14.34,14.52,13.56,13.77,29223
1970-01-11,13.83,14.07,13.62,14.01,13734
1970-01-12,13.74,13.98,13.53,13.74,16608
1970-01-13,13.62,13.68,12.66,12.69,27435
1970-01-14,12.54,12.6,12.06,12.27,28383
1970-01-15,12.39,13.05,12.39,13.02,20640
1970-01-16,13.08,13.14,12.33,12.36,21900
1970-01-17,12.24,12.9,12.15,12.87,17748
1970-01-18,12.84,13.05,12.42,12.6,16491
1970-01-19,12.66,13.8,12.57,13.62,39405
1970-01-20,13.62,13.86,13.38,13.8,21393
1970-01-21,13.62,13.65,13.23,13.26,13446
1970-01-22,13.17,13.8,13.05,13.68,19950
1970-01-23,13.56,13.62,12.84,12.96,17964
1970-01-24,12.81,13.35,12.81,13.29,9528
1970-01-25,13.11,13.29,12.75,12.87,10527
1970-01-26,12.84,12.9,12.36,12.39,20997
1970-01-27,12.39,12.63,12.21,12.33,21651
1970-01-28,12.24,12.39,12.21,12.36,13215
1970-01-29,12.39,12.45,11.55,11.73,33978
1970-01-30,11.7,11.91,11.61,11.76,13815
1970-01-31,11.7,11.73,11.4,11.52,12699
1970-02-01,11.43,11.64,11.34,11.37,11610
1970-02-02,11.28,11.73,11.28,11.55,20376
1970-02-03,11.7,12.45,11.7,12.42,19083
1970-02-04,12.45,12.66,12.24,12.48,20802
1970-02-05,12.36,12.39,11.46,11.94,20352
1970-02-06,11.82,12.03,11.58,11.94,11151
1970-02-07,11.91,11.97,11.55,11.58,22827
1970-02-08,11.4,11.67,11.22,11.61,28404
1970-02-09,11.55,11.91,11.55,11.7,19770
1970-02-10,11.85,12.54,11.85,12.27,14052
1970-02-11,11.85,12.36,11.7,12.3,5739
1970-02-12,12.48,12.9,12.48,12.87,15075
1970-02-13,12.93,13.17,12.84,13.05,13950
1970-02-14,12.66,12.84,12.24,12.48,16626
1970-02-15,12.45,12.69,12.36,12.57,15750
1970-02-16,12.45,12.51,12.27,12.42,13830
1970-02-17,12.21,12.3,11.46,11.49,38661
1970-02-18,11.64,11.88,11.55,11.61,13044
1970-02-19,11.64,11.85,11.55,11.58,11469
1970-02-20,11.58,12.3,11.58,12.24,21492
1970-02-21,12.09,12.24,11.67,11.85,12027
1970-02-22,11.91,12.12,11.55,11.58,9156
1970-02-23,11.79,11.88,11.58,11.58,5022
1970-02-24,12,12.3,11.85,12.21,16047
1970-02-25,11.88,12.06,11.73,11.82,11184
1970-02-26,11.91,12.09,11.88,12,5820
